"Time","Return","Price","RelativeConditionalScale","CascadeActivity","FineScaleDissipation"
4556,-0.00208682748420897,20.39907286288458,2.3598410657790874,0.124363655016002,0.027073984016033923
4557,0.02077966427105695,20.82739351600654,2.2535868411263955,0.10767098565052013,0.02309257826578506
4558,0.016074789810180432,21.164894853132097,2.152215814357791,0.09353493416418629,0.01974991862878458
4559,0.06364905086237639,22.555816190060924,2.0564938148769754,0.08154029734745341,0.016940376728551452
4560,0.0021782549461779777,22.605002058474508,1.9669047963709643,0.07133739688960884,0.0145747653290421
4561,-0.0014251582547623635,22.57280929852957,1.8836862930563558,0.06263388245492432,0.01257850128362108
4562,0.0005633652760832951,22.585529618228787,1.8068725947543998,0.055186437834698496,0.01088960348560465
4563,-0.013053585061043222,22.292623383594,1.7363395172801213,0.04879306257946729,0.009456760512542364
4564,-0.019038116883912288,21.87222827715843,1.6718464855404287,0.04328622326885409,0.008237580619466528
4565,0.001763458189616708,21.91083306620026,1.6130734091714178,0.038526954171552434,0.0071970660976518825
4566,-0.024770599607849303,21.374755485178362,1.559651250979675,0.03439987324789209,0.0063063152667381436
4567,-0.011589496975586294,21.12846278215447,1.5111861878557926,0.030809025490061842,0.005541435828694087
4568,-0.009092446121721583,20.937224103876616,1.4672778758145781,0.027674445886845846,0.004882644955021476
4569,0.0037996982109949097,21.016930571209794,1.4275326394264507,0.02492933317516199,0.004313529346852375
4570,-0.0111005147031758,20.78492191450588,1.3915725043118705,0.022517733670525293,0.0038204396175284005
4571,0.0002779589136211595,20.790700071828898,1.359040960375055,0.02039264647735946,0.003391995955192233
4572,-0.012526378986763929,20.531892230007756,1.3296062438882839,0.018514474305554137,0.003018685147811036
4573,0.007769676828720608,20.692039738865116,1.3029627995372466,0.016849756437467646,0.0026925321724452977
4574,-0.0026976824676009353,20.636294411446062,1.278831454213207,0.015370131407971258,0.002406832410799119
4575,-0.00397012802228223,20.554528099489755,1.2569587162315914,0.014051486451486052,0.0021559330528802267
4576,-0.00003128631195173525,20.553885034171234,1.2371155126962747,0.01287325875109279,0.0019350543712126494
4577,-0.012373549362809986,20.301127501860954,1.2190955952550906,0.011817860129312213,0.0017401433121944528
4578,0.019817459843292615,20.70745719395473,1.202713779361849,0.01087020222669259,0.0015677532996269984
4579,-0.0029329425169930135,20.646812389667208,1.1878041320948163,0.010017303608090014,0.0014149453241086196
